"followers","genres","href","id","name","popularity","type","uri"
511314,"boston rock, indie folk, new americana","https://api.spotify.com/v1/artists/3nuc29fYGlQbIrwh4yrNWd","3nuc29fYGlQbIrwh4yrNWd","Lake Street Dive",58,"artist","spotify:artist:3nuc29fYGlQbIrwh4yrNWd"
5886996,"pop","https://api.spotify.com/v1/artists/2kRfqPViCqYdSGhYSM9R0Q","2kRfqPViCqYdSGhYSM9R0Q","Madison Beer",71,"artist","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q"
55058,"","https://api.spotify.com/v1/artists/1JWMpIl0nhqFJNdO3IOQ20","1JWMpIl0nhqFJNdO3IOQ20","49 Winchester",58,"artist","spotify:artist:1JWMpIl0nhqFJNdO3IOQ20"
21822,"organic electronic, organic house","https://api.spotify.com/v1/artists/6DPQIFnbvlnYf0QozkfiPw","6DPQIFnbvlnYf0QozkfiPw","Kermesse",39,"artist","spotify:artist:6DPQIFnbvlnYf0QozkfiPw"
214879,"garage rock, modern blues rock","https://api.spotify.com/v1/artists/3mVWMgLc7bcyCBtL2ymZwK","3mVWMgLc7bcyCBtL2ymZwK","The Arcs",45,"artist","spotify:artist:3mVWMgLc7bcyCBtL2ymZwK"
788618,"indie folk, pop folk, stomp and flutter, stomp and holler","https://api.spotify.com/v1/artists/5sXaGoRLSpd7VeyZrLkKwt","5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov",68,"artist","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt"
473542,"classical, impressionism, neoclassicism, post-romantic era","https://api.spotify.com/v1/artists/17hR0sYHpx7VYTMRfFUOmY","17hR0sYHpx7VYTMRfFUOmY","Maurice Ravel",57,"artist","spotify:artist:17hR0sYHpx7VYTMRfFUOmY"
4524101,"beatlesque, classic rock, mellow gold, rock","https://api.spotify.com/v1/artists/4STHEaNw4mPZ2tzheohgXB","4STHEaNw4mPZ2tzheohgXB","Paul McCartney",69,"artist","spotify:artist:4STHEaNw4mPZ2tzheohgXB"
85995651,"art pop, electropop, pop","https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish",88,"artist","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH"
48282831,"classic rock, glam rock, rock","https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d","1dfeR4HaWDbWqFHLkxsg1d","Queen",82,"artist","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d"
