"track_name","min_played","artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Fantasy",20.6863166666667,"Moglii","0lIIsJafIVVi3ruN2vFzpS","28XPag6s9QyvMrL3RQPYrj","album","2017-06-02","2017","day","0.376","0.429","6","-10.307","0","0.35","0.663","8.12e-06","0.104","0.402","65.903","2bORfZSe5ZoybZJujpGtuj","https://api.spotify.com/v1/audio-analysis/2bORfZSe5ZoybZJujpGtuj","5","1","216000","FALSE","https://api.spotify.com/v1/tracks/2bORfZSe5ZoybZJujpGtuj","FALSE","https://p.scdn.co/mp3-preview/7c782f83cea2e14a6d0b895b88ec8f9d1248103a?cid=c754a384dab5409faec10df188bbe142","5","track","spotify:track:2bORfZSe5ZoybZJujpGtuj","https://open.spotify.com/track/2bORfZSe5ZoybZJujpGtuj","Naboo","F#","minor","F# minor"
"Psychics in LA",20.6733,"Peach Pit","6fC2AcsQtd9h4BWELbbire","2vNreAH5ealo54gzwLwT6w","album","2020-10-02","2020","day","0.328","0.849","1","-5.02","0","0.052","0.0096","1.33e-05","0.232","0.624","132.047","5tsB5ROYUKKisUaJQIEEfv","https://api.spotify.com/v1/audio-analysis/5tsB5ROYUKKisUaJQIEEfv","3","2","206733","FALSE","https://api.spotify.com/v1/tracks/5tsB5ROYUKKisUaJQIEEfv","FALSE","https://p.scdn.co/mp3-preview/513195accb5cfc06c08d0a84a6e8c950090c952f?cid=c754a384dab5409faec10df188bbe142","1","track","spotify:track:5tsB5ROYUKKisUaJQIEEfv","https://open.spotify.com/track/5tsB5ROYUKKisUaJQIEEfv","You and Your Friends (Deluxe)","C#","minor","C# minor"
"Posthumous Forgiveness",20.5587,"Tame Impala","5INjqkS1o8h1imAzPqGZBb","31qVWUdRrlb8thMvts0yYL","album","2020-02-14","2020","day","0.367","0.613","7","-5.646","1","0.0297","0.0508","0.00171","0.282","0.0966","153.978","1KcOU0q9AMXV9xi4tSzzCc","https://api.spotify.com/v1/audio-analysis/1KcOU0q9AMXV9xi4tSzzCc","4","1","366066","FALSE","https://api.spotify.com/v1/tracks/1KcOU0q9AMXV9xi4tSzzCc","FALSE",NA,"4","track","spotify:track:1KcOU0q9AMXV9xi4tSzzCc","https://open.spotify.com/track/1KcOU0q9AMXV9xi4tSzzCc","The Slow Rush","G","major","G major"
"Hometown",20.5463333333333,"French 79","6MJKlN8ya42Agsw3iQZs6e","3yzN5sQahqRFKNtDM2YZSO","album","2019-11-08","2019","day","0.566","0.713","5","-9.134","1","0.034","0.255","0.944","0.109","0.18","117.987","47x1Gh7yk5mblUWxWRdtjH","https://api.spotify.com/v1/audio-analysis/47x1Gh7yk5mblUWxWRdtjH","4","1","202107","FALSE","https://api.spotify.com/v1/tracks/47x1Gh7yk5mblUWxWRdtjH","FALSE","https://p.scdn.co/mp3-preview/1aa27d26438485ae4ce25821e3aa3bba3c72abd1?cid=c754a384dab5409faec10df188bbe142","7","track","spotify:track:47x1Gh7yk5mblUWxWRdtjH","https://open.spotify.com/track/47x1Gh7yk5mblUWxWRdtjH","Joshua","F","major","F major"
"As It Was",20.52925,"Hozier","2FXC3k01G6Gw61bmprjgqS","2c7gFThUYyo2t6ogAgIYNw","album","2019-03-01","2019","day","0.398","0.154","0","-11.395","0","0.0351","0.841","0.157","0.113","0.155","173.589","4xEHlCgoKd4RdrS79OPn9y","https://api.spotify.com/v1/audio-analysis/4xEHlCgoKd4RdrS79OPn9y","3","1","207653","FALSE","https://api.spotify.com/v1/tracks/4xEHlCgoKd4RdrS79OPn9y","FALSE","https://p.scdn.co/mp3-preview/bf90e680780317481c9c969d9aa9e4bb196d9a45?cid=c754a384dab5409faec10df188bbe142","7","track","spotify:track:4xEHlCgoKd4RdrS79OPn9y","https://open.spotify.com/track/4xEHlCgoKd4RdrS79OPn9y","Wasteland, Baby!","C","minor","C minor"
"As It Was",20.52925,"Harry Styles","6KImCVD70vtIoJWnq6nGn3","5r36AJ6VOJtp00oxSkBZ5h","album","2022-05-20","2022","day","0.52","0.731","6","-5.338","0","0.0557","0.342","0.00101","0.311","0.662","173.93","4Dvkj6JhhA12EX05fT7y2e","https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e","4","1","167303","FALSE","https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e","FALSE","https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=c754a384dab5409faec10df188bbe142","4","track","spotify:track:4Dvkj6JhhA12EX05fT7y2e","https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e","Harry's House","F#","minor","F# minor"
"No Excuses",20.1660333333333,"NF","6fOMl44jA4Sp5b9PpYCkzz","46xdC4Qcvscfs3Ai2RIHcv","album","2019-07-26","2019","day","0.727","0.642","1","-4.915","1","0.087","0.0291","0","0.0815","0.351","162.935","7ssFG94tZHpX9vbIFM0GVH","https://api.spotify.com/v1/audio-analysis/7ssFG94tZHpX9vbIFM0GVH","4","1","201720","FALSE","https://api.spotify.com/v1/tracks/7ssFG94tZHpX9vbIFM0GVH","FALSE",NA,"14","track","spotify:track:7ssFG94tZHpX9vbIFM0GVH","https://open.spotify.com/track/7ssFG94tZHpX9vbIFM0GVH","The Search","C#","major","C# major"
"Escape",20.1305333333333,"Hiroyuki Sawano","0Riv2KnFcLZA3JSVryRg4y","1lmwPGXhM7KSxh0on2Rnz5","album","2023-01-20","2023","day","0.395","0.595","2","-10.173","1","0.0391","0.0211","0.774","0.181","0.11","133.052","7MKwrBqd9GXgtnZ6wxmQv8","https://api.spotify.com/v1/audio-analysis/7MKwrBqd9GXgtnZ6wxmQv8","4","1","200330","FALSE","https://api.spotify.com/v1/tracks/7MKwrBqd9GXgtnZ6wxmQv8","FALSE","https://p.scdn.co/mp3-preview/d547374ea55c51e9fdbb7a9adf236883ab2a3525?cid=c754a384dab5409faec10df188bbe142","44","track","spotify:track:7MKwrBqd9GXgtnZ6wxmQv8","https://open.spotify.com/track/7MKwrBqd9GXgtnZ6wxmQv8","Kaina of the Great Snow Sea (Original Series Soundtrack)","D","major","D major"
"DRIFTING",20.0896666666667,"NF","6fOMl44jA4Sp5b9PpYCkzz","7eQGtkzCgrIWDOe76E9F8t","album","2021-03-26","2021","day","0.692","0.721","9","-3.244","0","0.389","0.405","0","0.0773","0.496","168.084","2hRlHXzOf14ArYmOPeAXsa","https://api.spotify.com/v1/audio-analysis/2hRlHXzOf14ArYmOPeAXsa","4","1","200049","FALSE","https://api.spotify.com/v1/tracks/2hRlHXzOf14ArYmOPeAXsa","FALSE",NA,"8","track","spotify:track:2hRlHXzOf14ArYmOPeAXsa","https://open.spotify.com/track/2hRlHXzOf14ArYmOPeAXsa","CLOUDS (THE MIXTAPE)","A","minor","A minor"
"Solitude Is Bliss",19.8884833333333,"Tame Impala","5INjqkS1o8h1imAzPqGZBb","1DNSmmRLfv97Yjq7MTFWng","album","2010-05-21","2010","day","0.588","0.849","4","-5.027","0","0.0596","0.00811","0.000161","0.131","0.629","104.012","2a2MbiJN2skOxohykOVcss","https://api.spotify.com/v1/audio-analysis/2a2MbiJN2skOxohykOVcss","4","1","235866","FALSE","https://api.spotify.com/v1/tracks/2a2MbiJN2skOxohykOVcss","FALSE",NA,"6","track","spotify:track:2a2MbiJN2skOxohykOVcss","https://open.spotify.com/track/2a2MbiJN2skOxohykOVcss","InnerSpeaker","E","minor","E minor"
